execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-00-43-844Z_b1-b4,V0,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0x8cb08b8b6ca45600b76a431b4cd18aee2095374e00c890903bfaa28d83b5f82b
2026-09-23T22-00-43-844Z_b1-b4,V0,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xfa43c1f7a1a1658c8aeac58119b26e806face10fc63ae3e18099942309f4d395
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B4,,,delegate,,,,0x5c19a95c,,48347,1,,0xd8924e2dc3083d3fa5a01091bb187e5ae1203627ca1d391958743989a66d43b3
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B4,,,transfer,,,,0xa9059cbb,,135960,1,,0x7318affd598f646964ed09f02356e7fa3416024b4db03fb7a617d0827c482725
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B4,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63790,1,,0x7e890f51df0104022d84bda8ff8926fc1e4c3cab93944fb98f7533c8bbc0e9d4
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B4,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,81899,1,,0xb910edd455d6da210e41f7e60969a4eeae58ffae4c34f9f144598b85e7da1130
2026-09-23T22-00-43-844Z_b1-b4,V0,,,B4,,,vote_repeat,2,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,36828,0,VM Exception while processing transaction: reverted with custom error 'GovernorAlreadyCastVote('0x14dC79964da2C08b23698B3D3cc7Ca32193d9955')',0xd8e1cccf4153a3c15f73b3bfe494793881539a360a9a9d47c2b5cc42c1dd72b9
2026-09-23T22-00-43-844Z_b1-b4,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0x8f62eddf5d8ad4258df9266a5c51968e7727ddcba61a93cdee6c0c03b62b74b8
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T22-00-43-844Z_b1-b4,V1,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B1,,,delegate,,,,0x5c19a95c,,48347,1,,0x81d5bf8e96fad9ce8b5230dc73abbeb313b25fcb2932728690f357e6b4e905b9
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B1,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0xb6249d3c1d7bf6dd81657eb115e0285fea719b534002e4c823fd6f1e172ff394
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B1,,,transfer_post_snapshot,,,,0xa9059cbb,,135972,1,,0x86f2dd41c1d036dff861ea4addcad077ce4018f1c5036e679d1788bb78ad2cce
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B1,,,delegate_post_snapshot,,,,0x5c19a95c,,28424,1,,0x9ce14b039819096dea9e8cefd72414d5cd62e8b58747d8280acfbbb03a935064
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B1,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,62268,1,,0x66132ec752161ff6b393a7c6db88c33d474bc9c0c2c80da43a150c05f5103162
2026-09-23T22-00-43-844Z_b1-b4,V1,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,deploy_governor_V1,,,constructor,0x6101c080,,2141155,1,,0x8f62eddf5d8ad4258df9266a5c51968e7727ddcba61a93cdee6c0c03b62b74b8
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0xfdc9a3875129e16eb4a0e6527cfb2e5662449c13660398cf3b7c723db6d0e009
2026-09-23T22-00-43-844Z_b1-b4,V1,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xc189311656167d1c4c211ee1c4f5143a8df64ff72cb449ebf7ec77ff2fd0bcbb
2026-09-23T22-00-43-844Z_b1-b4,V1,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xd4695df7ceba86e36d8d32ccf756640823a0c1b729cf20e3a0b632c08e38ee6a
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B2,,,delegate,,,,0x5c19a95c,,48335,1,,0xba1529785c0448bf786a4eda41f0c4891f08aab1b5e82387843877e0a26eda63
