execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0xece28f063ba256e8fc65152daf61fe745a7823e8ba387b1b661409f18f6dc4cc
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,,,,,deploy_governor_V2,,,constructor,0x6101e080,,2178840,1,,0xa32c9f3d540c0ae9eee563ea02a53e3c1648afde51e09209202bc2912d9a8532
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0x0482dd737ad13e5cf9f342f77b7f4c8d4a60575e6613b501a7a433855227e65d
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xbf6c6756b6e885a31717a4b56f3c4fc35da4780ca84e075711ea97189f58ea3d
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xe4ed125ff7fcf34a784094393e69d7b32184f90f45a88cf0e398ac5fe2329d50
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x8e5cf2e817455991c3f88244f29b95e3c5703efb253d16587c3e019ace8ed4aa
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48335,1,,0x3a4d0b938991cc6665fddf48aab742d27a2480134e4cb1cf5b844b9724575405
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x8df16e2387da0d9fa03469e487a72815c7ad0f22d2e3631bfcd3e8532e84566f
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,delegate,,,,0x5c19a95c,,48347,1,,0x95612e3ccf4e98f664cb62c90a18fd3142e8f5668db18fb82a400652a6b96b06
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x3558cad685994c37044c2f00b8b4c7de324f0ee86bcec98f244b7ad81088ae35
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135948,1,,0x529fa9953c8c684549471275424870997cf2e2a9ecf2b0e4939ff68ff78e080d
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0x3aa1a98412da82522f8ff4a1d16ee718b64d1d11e67ba2195e962875ba373fcb
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,transfer,,,,0xa9059cbb,,135960,1,,0xf2a6471b40edcc321f4fe3279d8384ee853dabb52a43039c6dfbb622e11a7f66
2026-09-23T21-53-29-899Z_n-sweep_1-4,V2,,4,A-unanime,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0xacb77c3651cad8f5e28f6416d89cd763ca9c335e1d15a9bb3660a517e872550d
